Date,Athlete,Period Name,Period Number,Max Acceleration,Max Deceleration,Acceleration Efforts,Deceleration Efforts,Accel + Decel Efforts,Accel + Decel Efforts Per Minute,Duration,Distance,Player Load,Max Velocity,Max Vel (% Max),Meterage Per Minute,Player Load Per Minute,Work/Rest Ratio,Max Heart Rate,Avg Heart Rate,Max HR (% Max),Avg HR (% Max),HR Exertion,Red Zone,Heart Rate Band 1 Duration,Heart Rate Band 2 Duration,Heart Rate Band 3 Duration,Heart Rate Band 4 Duration,Heart Rate Band 5 Duration,Heart Rate Band 6 Duration,Energy,High Metabolic Load Distance,Standing Distance,Walking Distance,Jogging Distance,Running Distance,HI Distance,Sprint Distance,Sprint Efforts,Sprint Dist Per Min,High Speed Distance,High Speed Efforts,High Speed Distance Per Minute,Impacts,Acceleration B2 Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Deceleration B2 Efforts (Gen 2),Deceleration B3 Efforts (Gen 2),Hi Accel,Hi Dec,Total Distance,Total Running Distance,Total Meaningfull Distance,Total HSR,Total Sprint Distance,Total Accels,Total Decels,Total Max Velocity,Total Max Velocity (%max),Total Player Load,Total Avg HR,Total Avg HR (%max),Total Session Hi Acc Efforts,Total Session Hi Dec Efforts,Session Total Distance,Session Total Meaningfull Distance,Session Total Running Distance,Session Total HSR,Session Total Sprint Distance,Session Total Accels,Session Total Decels,Session Max Velocity,Session Max Velocity (%max),Session Total Player Load,Session Avg HR,Session Avg HR (%max),Daily Total Distance,Daily Meaningfull Distance,Daily Running Distance,Daily HSR,Daily Sprint Distance,Daily Accels,Daily Decels,Daily Player Load,Daily Speed,Daily HR,Daily Max Velocity (%max),Daily Avg HR (%max),7d Avg Total Distance,7d Avg Meaningfull Distance,7d Avg HSR,7d Avg Sprint Distance,7d Avg Accels,7d Avg Decels,7d Avg Player Load,7d Max Speed,7d Hi Acc Efforts,7d Hi Dec Efforts,21d Avg Total Distance,21d Avg Meaningfull Distance,21d Avg HSR,21d Avg Sprint Distance,21d Avg Accels,21d Avg Decels,21d Avg Player Load,ACWR Total Distance,ACWR Meaningfull Distance,ACWR HSR,ACWR Sprint Distance,ACWR Accels,ACWR Decels,ACWR Player Load,Session Date,US_date,Position,Index,Sessions Today,Participation Status,Session Type,Session Number
8/1/2024,1,Session,0,3.9,-4.75,42,52,94,1.31,1:11:52,5102.07,579.76,14.78,86.17,70.99,8.07,0.13,195,148,97.5,73.83,123.37,3.71,0:05:47,0:13:34,0:32:26,0:16:19,0:03:42,0:00:00,1192.65,589.78,82.52,1873.2,2417.52,632.09,93.48,0,0,0,93.48,8,1.3,15,,,,,0,0,10204.15,,6286.18,186.96,0,84,104,14.78,86.17,1159.52,154.63,77.29,0,0,5102.07,3143.09,,93.48,0,42,52,14.78,86.17,579.76,148,73.83,,,,,,,,,,,,,13804.56,6969.47,218.84,4.72,137,145,1705.36,54.88,0,0,58511.36,35095.19,1026.45,127.9,489,519,6504.08,0.71,0.6,0.64,0.11,0.84,0.84,0.79,8/1/2024,8/1/2024,Midfield,1,1,Modified,Moderate Practice,1
8/1/2024,1,01 WARM UP,1,3.9,-3.13,6,9,15,1.23,0:12:10,732.93,92.73,12.31,71.73,60.24,7.62,0.03,162,140,81,70.14,17.57,0,0:00:03,0:02:08,0:09:57,0:00:00,0:00:00,0:00:00,175.77,44.81,19.25,390.7,289.51,32.44,1,0,0,0,1,0,0.08,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Modified,Moderate Practice,1
8/1/2024,1,02 TECHNICAL,2,3.21,-1.95,10,0,10,0.84,0:11:58,767.73,99.5,11.73,68.37,64.16,8.31,0.13,174,156,87,77.84,20.03,0,0:00:00,0:00:34,0:08:09,0:03:13,0:00:00,0:00:00,174.83,88.55,22.57,240.22,387.39,114.74,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Modified,Moderate Practice,1
8/1/2024,1,03 PATTERN (1V2),3,3.1,-3.87,4,5,9,0.44,0:20:29,684.15,66.67,11.71,68.26,33.4,3.25,0.02,153,120,76.5,59.96,24.99,0,0:05:44,0:09:33,0:05:11,0:00:00,0:00:00,0:00:00,150.53,24.55,20,383.44,258.1,22.19,0,0,0,0,0,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Modified,Moderate Practice,1
8/1/2024,1,05 11V11,4,3.53,-4.75,7,10,17,2.75,0:06:11,763.87,84.52,13.08,76.25,123.54,13.67,0.45,187,170,93.5,85.11,12.72,0.04,0:00:00,0:00:12,0:01:05,0:04:50,0:00:02,0:00:00,183.58,129.26,2.42,192.22,443.24,108.65,17.44,0,0,0,17.44,1,2.82,2,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Modified,Moderate Practice,1
8/1/2024,1,06 11v11,5,3.38,-4.37,9,11,20,2.58,0:07:46,1006.73,111.85,14.78,86.17,129.62,14.4,0.41,195,178,97.5,88.97,23.11,3.06,0:00:00,0:00:16,0:01:03,0:03:22,0:03:03,0:00:00,240.02,154.96,2.01,309.48,486.35,159.61,48.72,0,0,0,48.72,5,6.27,6,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Modified,Moderate Practice,1
8/1/2024,1,07 11V11,6,2.02,-4.37,1,7,8,1.28,0:06:14,714.54,72.56,13.41,78.14,114.63,11.64,0.38,188,175,94,87.27,14.39,0.61,0:00:00,0:00:00,0:01:01,0:04:36,0:00:36,0:00:00,162.06,73.85,4.38,217.86,357.08,122.47,13.21,0,0,0,13.21,1,2.12,2,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Modified,Moderate Practice,1
8/1/2024,1,08 4V3 TRANSITION,7,3.46,-3.25,5,10,15,2.12,0:07:04,432.13,51.93,12.95,75.46,61.15,7.35,0.13,167,150,83.5,75.19,10.55,0,0:00:00,0:00:49,0:05:56,0:00:17,0:00:00,0:00:00,105.85,73.8,11.89,139.28,195.85,71.99,13.11,0,0,0,13.11,1,1.86,3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Modified,Moderate Practice,1
8/1/2024,2,Session,0,3.98,-3.01,18,5,23,0.52,0:44:37,1837.93,211.42,14.59,81.55,41.19,4.74,0.04,189,145,94.5,72.6,72.21,0.54,0:00:54,0:14:54,0:15:55,0:12:19,0:00:32,0:00:00,136.99,157.06,88.27,882.59,700.38,148.27,16.95,0,0,0,16.95,1,0.38,0,,,,,0,0,3675.86,,1731.2,33.9,0,36,10,14.59,81.55,422.84,149.25,74.51,0,0,1837.93,865.6,,16.95,0,18,5,14.59,81.55,211.42,145,72.6,,,,,,,,,,,,,8785.92,4054.24,58.24,0,108,74,1040.71,53.13,0,0,13585.31,6984.61,106.79,0,148,93,1602.22,1.94,1.74,1.64,,2.19,2.39,1.95,8/1/2024,8/1/2024,Attacker,1,1,Modified,Moderate Practice,1
8/1/2024,2,01 WARM UP,1,3.98,-3.01,7,5,12,0.99,0:12:10,679.79,79.66,12.85,71.82,55.87,6.55,0.03,175,155,87.5,77.33,20.28,0,0:00:01,0:00:36,0:08:19,0:03:11,0:00:00,0:00:00,53.01,44.9,21.06,373.23,255.4,24.09,4.28,0,0,0,4.28,0,0.35,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Attacker,,,Modified,Moderate Practice,1
8/1/2024,2,02 TECHNICAL,2,3.2,-1.74,10,0,10,0.84,0:11:58,794.39,95.73,14.59,81.55,66.38,8,0.13,189,173,94.5,86.29,25.94,0.54,0:00:00,0:00:00,0:02:18,0:09:07,0:00:32,0:00:00,59.74,107.51,25.02,274.24,358.48,124.18,12.67,0,0,0,12.67,1,1.06,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Attacker,,,Modified,Moderate Practice,1
8/1/2024,2,03 PATTERN (1V2),3,2.35,-1.11,1,0,1,0.05,0:20:29,363.75,36.03,8.73,48.78,17.76,1.76,0.01,162,124,81,61.8,25.99,0,0:00:52,0:14:18,0:05:17,0:00:00,0:00:00,0:00:00,24.24,4.65,42.19,235.12,86.5,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Attacker,,,Modified,Moderate Practice,1
8/1/2024,3,Session,0,3.61,-3.68,59,47,106,1.21,1:27:15,6577.73,737.61,13.9,80.38,75.39,8.45,0.16,187,142,93.5,70.75,132.33,0.22,0:15:22,0:16:03,0:32:17,0:21:55,0:00:13,0:00:00,1511.37,677.55,96.51,2255.96,3222.24,924.55,69.95,0,0,0,69.95,6,0.8,26,,,,,0,0,13155.46,,8433.48,139.9,0,118,94,13.9,80.38,1475.25,147.9,73.93,0,0,6577.73,4216.74,,69.95,0,59,47,13.9,80.38,737.61,142,70.75,,,,,,,,,,,,,31469.29,18796.19,391.88,7.58,295,281,3646.81,72.09,0,0,77854.78,48401.89,1086.94,83.11,674,593,8877.43,1.21,1.17,1.08,0.27,1.31,1.42,1.23,8/1/2024,8/1/2024,Midfield,1,1,Full,Moderate Practice,1
8/1/2024,3,01 WARM UP,1,3.61,-2.69,9,8,17,1.4,0:12:10,756.07,87.31,11.51,66.58,62.14,7.18,0.03,172,137,86,68.44,15.6,0,0:00:02,0:04:43,0:04:54,0:01:09,0:00:00,0:00:00,177.97,41.35,18.72,380.89,326.67,28.43,0,0,0,0,0,0,0,2,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,3,02 TECHNICAL,2,3.26,-2.59,8,1,9,0.75,0:11:58,804.76,97.51,12.41,71.79,67.25,8.15,0.15,170,144,85,72.11,17.88,0,0:00:22,0:02:47,0:07:25,0:01:22,0:00:00,0:00:00,185.2,90.07,19.78,255.16,378.07,146.44,2.68,0,0,0,2.68,0,0.22,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,3,03 PATTERN (1V2),3,2.42,-1.8,2,0,2,0.1,0:20:29,497.27,51.05,9.89,57.17,24.28,2.49,0.02,149,108,74.5,53.86,22.31,0,0:14:04,0:04:36,0:01:48,0:00:00,0:00:00,0:00:00,106.92,18.8,24.34,272.34,178.59,22.06,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,3,04 11V11,4,3.06,-3.07,11,9,20,2.52,0:07:57,1055.01,117.91,12.37,71.54,132.71,14.83,0.54,187,169,93.5,84.59,16.47,0.22,0:00:13,0:00:14,0:01:27,0:05:48,0:00:13,0:00:00,243.66,134.62,2.88,283.2,567.78,198.09,2.1,0,0,0,2.1,0,0.26,3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,3,05 11V11,5,2.47,-2.61,4,6,10,1.62,0:06:11,693.36,76.95,13.06,75.55,112.13,12.44,0.36,183,160,91.5,79.79,11.64,0,0:00:00,0:00:51,0:01:33,0:03:45,0:00:00,0:00:00,159.04,60.5,3.89,197.66,397.32,75.83,17.69,0,0,0,17.69,1,2.86,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,3,06 11v11,6,2.52,-2.68,3,4,7,0.9,0:07:46,978.55,106.49,12.03,69.59,125.99,13.71,0.52,182,164,91,81.77,14.42,0,0:00:00,0:00:11,0:03:31,0:04:03,0:00:00,0:00:00,218.51,79.32,4.37,259.07,529.46,185.36,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,3,07 11V11,7,3.2,-2.65,4,4,8,1.28,0:06:14,804.38,84.76,12.48,72.18,129.04,13.6,0.43,183,165,91.5,82.71,11.76,0,0:00:00,0:00:00,0:02:47,0:03:26,0:00:00,0:00:00,178.8,60.66,1.91,243.74,432.99,121.21,2.15,0,0,0,2.15,0,0.34,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,3,08 4V3 TRANSITION,8,3.36,-3.68,7,4,11,1.56,0:07:04,456.4,50.62,13.74,79.48,64.58,7.16,0.14,166,137,83,68.63,10.07,0,0:00:40,0:01:45,0:04:08,0:00:29,0:00:00,0:00:00,109.14,95.59,10.47,168.81,163.04,88.04,26.04,0,0,0,26.04,3,3.68,5,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,3,09 4V3 TRANSITION,9,2.75,-3.41,11,11,22,2.96,0:07:26,531.93,65.04,13.9,80.38,71.56,8.75,0.14,177,153,88.5,76.63,12.19,0,0:00:00,0:00:52,0:04:41,0:01:51,0:00:00,0:00:00,132.13,96.64,10.15,195.09,248.32,59.09,19.29,0,0,0,19.29,2,2.6,14,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,4,Session,0,3.51,-4.71,44,52,96,1.1,1:27:15,6640.33,704.75,13.95,83.49,76.11,8.08,0.15,188,141,95,71.2,136.12,0.54,0:14:09,0:15:46,0:34:36,0:22:07,0:00:32,0:00:00,435.75,654.6,102.05,2387.95,3162.06,891.42,96.36,0,0,0,96.36,8,1.1,7,,,,,0,0,13280.65,,8299.68,192.72,0,88,104,13.95,83.49,1409.49,148.4,74.9,0,0,6640.33,4149.84,,96.36,0,44,52,13.95,83.49,704.75,141,71.2,,,,,,,,,,,,,31332.36,17136.87,233.53,0,280,321,3383.65,70.79,0,0,75810.52,44756.76,752.13,46.86,615,680,8090.48,1.24,1.15,0.93,0,1.37,1.42,1.25,8/1/2024,8/1/2024,Midfield,1,1,Full,Moderate Practice,1
8/1/2024,4,01 WARM UP,1,3.51,-2.7,8,7,15,1.23,0:12:10,802.53,99.09,12.41,74.27,65.96,8.14,0.04,151,131,76.3,65.98,16.46,0,0:01:03,0:04:11,0:06:55,0:00:00,0:00:00,0:00:00,54.19,49.33,20.79,386.67,359.12,34.36,1.59,0,0,0,1.59,0,0.13,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,4,02 TECHNICAL,2,3.3,-2.19,9,1,10,0.84,0:11:58,918.33,103.55,12.48,74.71,76.74,8.65,0.14,164,143,82.8,72.19,17.18,0,0:00:38,0:01:38,0:09:37,0:00:03,0:00:00,0:00:00,60.37,125.66,21.51,323.5,399.69,171.01,2.63,0,0,0,2.63,0,0.22,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,4,03 PATTERN (1V2),3,1.61,-2.95,0,1,1,0.05,0:20:29,671.3,64.7,10.41,62.29,32.77,3.16,0.03,143,106,72.2,53.43,22.7,0,0:12:06,0:06:35,0:01:47,0:00:00,0:00:00,0:00:00,41.07,9.45,26.01,336.45,287.32,21.52,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,4,04 11V11,4,2.84,-3.71,2,8,10,1.26,0:07:57,1011.53,101.78,13.1,78.38,127.24,12.8,0.46,184,166,92.9,83.8,15.61,0,0:00:18,0:00:06,0:02:00,0:05:32,0:00:00,0:00:00,65.63,82.86,3.34,293.91,519.5,175.55,19.23,0,0,0,19.23,1,2.42,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,4,05 11V11,5,2.95,-3.52,5,7,12,1.94,0:06:11,754.22,78,13.95,83.49,121.98,12.62,0.48,188,165,95,83.48,12.91,0.54,0:00:00,0:00:52,0:01:30,0:03:15,0:00:32,0:00:00,49.26,66.56,2.42,210.01,446.79,80.91,13.42,0,0,0,13.42,1,2.17,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,4,06 11v11,6,3.46,-3.42,5,11,16,2.06,0:07:46,962.11,98.27,13.45,80.51,123.88,12.65,0.43,181,167,91.4,84.48,15.94,0,0:00:00,0:00:14,0:01:17,0:06:14,0:00:00,0:00:00,62.81,107.49,3.05,298.16,477.65,170.85,12.69,0,0,0,12.69,1,1.63,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,4,07 11V11,7,3.45,-3.8,2,5,7,1.12,0:06:14,733.89,72.36,11.84,70.86,117.74,11.61,0.33,180,170,90.9,85.65,12.77,0,0:00:00,0:00:00,0:01:20,0:04:53,0:00:00,0:00:00,47.25,63.43,0.71,277.68,323.93,131.98,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,4,08 4V3 TRANSITION,8,3.2,-4.71,7,7,14,1.98,0:07:04,404.67,44.3,13.53,80.99,57.26,6.27,0.09,169,149,85.3,75.09,11.4,0,0:00:04,0:01:06,0:04:12,0:01:40,0:00:00,0:00:00,28.5,68.01,9.69,177.55,160.5,42.89,13.62,0,0,0,13.62,2,1.93,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,4,09 4V3 TRANSITION,9,3.23,-3.51,6,5,11,1.48,0:07:26,381.74,42.69,13.8,82.6,51.36,5.74,0.12,165,146,83.3,73.69,11.17,0,0:00:00,0:01:02,0:05:55,0:00:28,0:00:00,0:00:00,26.67,81.81,14.53,84.02,187.56,62.35,33.18,0,0,0,33.18,3,4.46,3,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Midfield,,,Full,Moderate Practice,1
8/1/2024,5,Session,0,3.86,-4.61,60,48,108,1.24,1:27:15,6509.95,759,14.14,81.77,74.61,8.7,0.13,180,150,93.3,77.96,132.33,0,0:00:00,0:11:36,0:37:52,0:27:59,0:00:00,0:00:00,472.51,594.99,129.77,2568.39,3149.36,596.63,59.82,0,0,0,59.82,6,0.69,40,,,,,0,0,13019.89,,7611.62,119.64,0,120,96,14.14,81.77,1518,152.3,78.88,0,0,6509.95,3805.81,,59.82,0,60,48,14.14,81.77,759,150,77.96,,,,,,,,,,,,,30884.66,15911.63,226.96,0,316,296,3897.47,71.97,0,0,60891.22,33843.77,755.14,77.93,571,519,7400.92,1.52,1.41,0.9,0,1.66,1.71,1.58,8/1/2024,8/1/2024,Attacker,1,1,Full,Moderate Practice,1
8/1/2024,5,01 WARM UP,1,3.86,-2.97,8,6,14,1.15,0:12:10,774.75,110.25,11.4,65.91,63.68,9.06,0.04,170,156,88.1,80.63,22.1,0,0:00:00,0:00:00,0:06:39,0:05:30,0:00:00,0:00:00,58.27,44.15,25.36,416.43,305.71,27.16,0,0,0,0,0,0,0,7,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2024,8/1/2024,Attacker,,,Full,Moderate Practice,1
